exp_id,model,batch_size,lr,weight_decay,dropout,seed,unique_id,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,epochs,optimizer,test_accuracy,Pg_0,Pg,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv,EEDP2,EEDPinv2,FLOPS,FLOPS_,FPJ,n_samples,rate,tot_samples,SPJ,Eg,Eg2,Eg3
2001,vit_b_32,128,0.03,0.0,0.0,1,2001_vit_b_32,2528.1926074950024,320887.38775906584,0.6402,0.866,0.667974993818804,0.8644497833585908,0.6387066401267618,0.8644426863220543,0.9963656537925476,0.998646463613678,10,SGD,0.8599,0.2721423019282606,0.6462575569600165,811265121.5708526,1.23264266318229e-09,1.23264266318229e-10,81126512.15708525,1.2326426631822901e-08,8112651.215708526,1.23264266318229e-06,4398947904,43989479040,137086.9679459915,,,,,,,
2002,vit_b_32,128,0.03,0.0,0.0,2,2002_vit_b_32,2541.8128033060348,323416.05180422403,0.6618,0.8655,0.6789276094850042,0.8656228746173649,0.6637420865077768,0.865722912105451,0.9965838354136828,0.998641412960202,10,SGD,0.856,0.2972100069569683,0.6477154855268221,822063061.2706645,1.2164516897940872e-09,1.2164516897940872e-10,82206306.12706645,1.2164516897940871e-08,8220630.612706644,1.2164516897940871e-06,4398947904,43989479040,136015.1383785629,,,,,,,
2003,vit_b_32,128,0.03,0.0,0.0,3,2003_vit_b_32,2539.2511471599573,321319.80768309045,0.6527,0.8639,0.6652297234444375,0.8629309323802231,0.6530072406675016,0.8636776067536104,0.9964919159738084,0.9986252512641386,10,SGD,0.8574,0.2825381097371293,0.6429744472426702,815911690.2645043,1.2256228363094264e-09,1.2256228363094263e-10,81591169.02645043,1.2256228363094266e-08,8159116.902645043,1.2256228363094264e-06,4398947904,43989479040,136902.4815407138,,,,,,,
2004,vit_b_32,128,0.03,0.0,0.0,4,2004_vit_b_32,2530.1219474009704,322665.6806049614,0.6518,0.8578,0.6795607822471103,0.8588308894677632,0.6549262160759974,0.8580234905829459,0.996482825643184,0.9985636352856428,10,SGD,0.8564,0.2890712210534055,0.631202372217227,816383520.1716845,1.2249144860122864e-09,1.2249144860122865e-10,81638352.01716845,1.2249144860122864e-08,8163835.201716845,1.2249144860122864e-06,4398947904,43989479040,136331.4467083228,,,,,,,
2005,vit_b_32,128,0.03,0.0,0.0,5,2005_vit_b_32,2539.431720810011,325295.4371560085,0.6326,0.8632,0.663222370818268,0.8632964073982617,0.6359185293981333,0.8635827556082124,0.996288885050707,0.9986181803890491,10,SGD,0.8621,0.2658123280886957,0.6426504192565531,826065551.7487274,1.2105576825992374e-09,1.2105576825992376e-10,82606555.17487274,1.2105576825992376e-08,8260655.5174872745,1.2105576825992374e-06,4398947904,43989479040,135229.3146949463,,,,,,,
2006,vit_b_32,128,0.03,0.0,0.0,6,2006_vit_b_32,2551.300434932928,323600.48912271817,0.6731,0.859,0.6864444515783664,0.8597256084637772,0.6740008019620377,0.8588784339929973,0.9966979777785532,0.9985757567047294,10,SGD,0.8601,0.3103908998624552,0.633382037931092,825602068.6432991,1.2112372751721501e-09,1.2112372751721503e-10,82560206.86432992,1.2112372751721499e-08,8256020.686432992,1.2112372751721499e-06,4398947904,43989479040,135937.61603777425,,,,,,,
2007,vit_b_32,128,0.03,0.0,0.0,7,2007_vit_b_32,2546.5769042260945,325599.7234180979,0.6407,0.8611,0.6686827827124282,0.8604512077135728,0.642435476711666,0.8611626928218813,0.9963707045667644,0.998596968728983,10,SGD,0.8595,0.2742365461523373,0.637169953933189,829164735.6789323,1.2060329593988163e-09,1.2060329593988162e-10,82916473.56789324,1.2060329593988161e-08,8291647.3567893235,1.2060329593988161e-06,4398947904,43989479040,135102.93736802027,,,,,,,
2008,vit_b_32,128,0.03,0.0,0.0,8,2008_vit_b_32,2542.6076699959813,318623.29285627906,0.6491,0.8594,0.6653778757459411,0.8580044613651566,0.6452943812299777,0.8576654208625704,0.9964555527256472,0.9985797968458991,10,SGD,0.8592,0.2777127253972241,0.631517763871524,810134028.2557509,1.2343636548054125e-09,1.2343636548054125e-10,81013402.8255751,1.2343636548054124e-08,8101340.28255751,1.2343636548054124e-06,4398947904,43989479040,138061.08977676742,,,,,,,
2009,vit_b_32,128,0.03,0.0,0.0,9,2009_vit_b_32,2537.370563410106,323155.5060226259,0.6467,0.8643,0.6744264268591053,0.8646933053331114,0.6481698530055264,0.8646541686749568,0.9964313105465112,0.9986292919364892,10,SGD,0.8607,0.2816914296007607,0.6453173621912985,819965268.3857082,1.219563850513732e-09,1.219563850513732e-10,81996526.83857082,1.219563850513732e-08,8199652.683857081,1.2195638505137321e-06,4398947904,43989479040,136124.80128040913,,,,,,,
2011,vit_b_32,128,0.035,0.0,0.0,1,2011_vit_b_32,2526.29286248202,319000.8797567165,0.6435,0.8654,0.6685053759872294,0.8639662656602151,0.6419012222820808,0.8638706400403803,0.9963989871513153,0.9986404030029932,10,SGD,0.8619,0.2751407618060393,0.6450175378073097,805889645.654878,1.2408646833865014e-09,1.2408646833865013e-10,80588964.5654878,1.2408646833865015e-08,8058896.45654878,1.2408646833865013e-06,4398947904,43989479040,137897.67311472064,,,,,,,
