unique_id,exp_id,batch_size,lr,epochs,optimizer,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,n_samples,rate,tot_samples
366_vit_b_32,366,128,0.03,10,SGD,vit_b_32,948.317425618996,157364.13673933523,0.724,0.8652,0.7331179836064419,0.8648967304226978,0.7240190454116743,0.8648744650426103,0.9972121189584576,0.9986383827376816,0.8673,0.3832215979888563,0.6463118151389949,0.0,0.025,48000,08,480000
367_vit_b_32,367,128,0.03,10,SGD,vit_b_32,935.451631325006,155625.8359229129,0.7164,0.8586,0.7287471693254356,0.8593438005914058,0.7179524447304331,0.8595415993674829,0.9971353516200644,0.998571716216774,0.8669,0.3737509027709615,0.6332919876207977,0.0,0.025,48000,08,480000
368_vit_b_32,368,128,0.03,10,SGD,vit_b_32,943.2553163770352,156321.39143836152,0.7135,0.8573,0.7222568175495923,0.857595448477972,0.714242498260368,0.8580112988797204,0.997106058484844,0.9985585848020496,0.8686,0.3670055823163731,0.6299148515409635,0.0,0.025,48000,08,480000
369_vit_b_32,369,128,0.03,10,SGD,vit_b_32,947.5515163610108,157032.78287056918,0.7214,0.8697,0.7282104925694513,0.8685040009086957,0.7203888696232261,0.8687402675728663,0.9971858563935004,0.998683837358482,0.8646,0.377377648873672,0.6553288190388862,0.0,0.025,48000,08,480000
370_vit_b_32,370,128,0.03,10,SGD,vit_b_32,930.1411193420064,154993.22450673336,0.7164,0.8635,0.7273940311263636,0.8633905853371641,0.7150702714716961,0.8625820740206138,0.9971353512780388,0.9986212110347402,0.8663,0.3715593090548194,0.6422008343145164,0.0,0.025,48000,08,480000
371_vit_b_32,371,128,0.03,10,SGD,vit_b_32,938.4274026220082,156031.16357602837,0.7086,0.8671,0.719492269721387,0.8664902406509242,0.709005585140813,0.8671862405843817,0.9970565631423788,0.9986575746109202,0.8676,0.36040991753282,0.6506715838241631,0.0,0.025,48000,08,480000
372_vit_b_32,372,128,0.03,10,SGD,vit_b_32,950.5460446020006,157361.85951569566,0.7126,0.8649,0.7218112056514602,0.8659813785801291,0.7162471207899911,0.8656449818458565,0.9970969674582968,0.9986353524830056,0.8694,0.3673412694764567,0.6474723139096685,0.0,0.025,48000,08,480000
373_vit_b_32,373,128,0.03,10,SGD,vit_b_32,939.9941954989918,156195.9263112829,0.7381,0.8695,0.7467397818021371,0.868839685384361,0.7371773411160509,0.869429561232862,0.9973545433485008,0.9986818171324148,0.8674,0.4052341544243417,0.6559500677257816,0.0,0.025,48000,08,480000
374_vit_b_32,374,128,0.03,10,SGD,vit_b_32,944.7135599050088,156790.062598077,0.7206,0.8637,0.731245285990755,0.8647518932107277,0.7221384584468378,0.8642818502383135,0.9971777757884992,0.9986232313528004,0.8708,0.3794463700206166,0.6446314636733524,0.0,0.025,48000,08,480000
375_vit_b_32,375,128,0.03,10,SGD,vit_b_32,946.7877084800276,156882.64074992028,0.6527,0.8656,0.669908904090258,0.8645320434050591,0.6512583917144559,0.8637803495746739,0.9964919165151525,0.9986424232065548,0.8644,0.2837634629158538,0.6455229301295778,0.0,0.075,48000,08,480000
