unique_id,exp_id,batch_size,lr,epochs,optimizer,project,source_file,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,duration_minus_load,energy_minus_load,n_samples,rate,tot_samples,SPJ,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv
366_vit_b_32,366,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,948.317425618996,157364.13673933523,0.724,0.8652,0.7331179836064419,0.8648967304226978,0.7240190454116743,0.8648744650426103,0.9972121189584576,0.9986383827376816,0.8673,0.3832215979888563,0.6463118151389949,0.0,0.025,947.193205823695,157289.54087379013,48000,8,480000,3.051696872744732,148983584.46278238,6.712148882750302e-09,6.712148882750301e-10,14898358.44627824,6.712148882750302e-08
367_vit_b_32,367,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,935.451631325006,155625.8359229129,0.7164,0.8586,0.7287471693254356,0.8593438005914058,0.7179524447304331,0.8595415993674829,0.9971353516200644,0.998571716216774,0.8669,0.3737509027709615,0.6332919876207977,0.0,0.025,934.327411529705,155551.2400573678,48000,8,480000,3.0857998934818807,145335787.48303622,6.880617756426451e-09,6.88061775642645e-10,14533578.748303622,6.88061775642645e-08
368_vit_b_32,368,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,943.2553163770352,156321.39143836152,0.7135,0.8573,0.7222568175495923,0.857595448477972,0.714242498260368,0.8580112988797204,0.997106058484844,0.9985585848020496,0.8686,0.3670055823163731,0.6299148515409635,0.0,0.025,942.1310965817344,156246.79557281642,48000,8,480000,3.072063002894055,147204964.85039958,6.793249134064689e-09,6.793249134064689e-10,14720496.48503996,6.793249134064688e-08
369_vit_b_32,369,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,947.5515163610108,157032.78287056918,0.7214,0.8697,0.7282104925694513,0.8685040009086957,0.7203888696232261,0.8687402675728663,0.9971858563935004,0.998683837358482,0.8646,0.377377648873672,0.6553288190388862,0.0,0.025,946.42729656571,156958.18700502408,48000,8,480000,3.0581392991283445,148549512.60102007,6.7317622420333224e-09,6.731762242033321e-10,14854951.26010201,6.73176224203332e-08
370_vit_b_32,370,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,930.1411193420064,154993.22450673336,0.7164,0.8635,0.7273940311263636,0.8633905853371641,0.7150702714716961,0.8625820740206138,0.9971353512780388,0.9986212110347402,0.8663,0.3715593090548194,0.6422008343145164,0.0,0.025,929.0168995467054,154918.62864118826,48000,8,480000,3.0984007811723053,143922024.06226414,6.948206895474009e-09,6.948206895474011e-10,14392202.406226415,6.948206895474009e-08
371_vit_b_32,371,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,938.4274026220082,156031.16357602837,0.7086,0.8671,0.719492269721387,0.8664902406509242,0.709005585140813,0.8671862405843817,0.9970565631423788,0.9986575746109202,0.8676,0.36040991753282,0.6506715838241631,0.0,0.025,937.3031828267071,155956.56771048327,48000,8,480000,3.077779968145162,146178587.29776484,6.840947217276128e-09,6.840947217276127e-10,14617858.729776485,6.84094721727613e-08
372_vit_b_32,372,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,950.5460446020006,157361.85951569566,0.7126,0.8649,0.7218112056514602,0.8659813785801291,0.7162471207899911,0.8656449818458565,0.9970969674582968,0.9986353524830056,0.8694,0.3673412694764567,0.6474723139096685,0.0,0.025,949.4218248066996,157287.26365015056,48000,8,480000,3.0517410555736406,149331960.87357843,6.696490116048103e-09,6.696490116048102e-10,14933196.087357843,6.696490116048102e-08
373_vit_b_32,373,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,939.9941954989918,156195.9263112829,0.7381,0.8695,0.7467397818021371,0.868839685384361,0.7371773411160509,0.869429561232862,0.9973545433485008,0.9986818171324148,0.8674,0.4052341544243417,0.6559500677257816,0.0,0.025,938.8699757036908,156121.3304457378,48000,8,480000,3.0745318312979077,146577629.72241774,6.822323446584284e-09,6.822323446584283e-10,14657762.972241772,6.822323446584286e-08
374_vit_b_32,374,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,944.7135599050088,156790.062598077,0.7206,0.8637,0.731245285990755,0.8647518932107277,0.7221384584468378,0.8642818502383135,0.9971777757884992,0.9986232313528004,0.8708,0.3794463700206166,0.6446314636733524,0.0,0.025,943.5893401097078,156715.4667325319,48000,8,480000,3.0628757327393954,147875043.83913463,6.762466296123953e-09,6.762466296123954e-10,14787504.383913465,6.762466296123954e-08
375_vit_b_32,375,128,0.03,10,SGD,12_05,project_12_05conf.csv,vit_b_32,946.7877084800276,156882.64074992028,0.6527,0.8656,0.669908904090258,0.8645320434050591,0.6512583917144559,0.8637803495746739,0.9964919165151525,0.9986424232065548,0.8644,0.2837634629158538,0.6455229301295778,0.0,0.075,945.6634886847266,156808.04488437518,48000,8,480000,3.061067436648007,148287642.77918944,6.7436502547219606e-09,6.74365025472196e-10,14828764.277918942,6.743650254721963e-08
