dataset,model,batch-size,lr,accuracy,precision,recall,specificity,SPJ,EDPinv,FPJ
CIFAR10,vit-b-32,128,0.01,0.97245,0.9724869934205203,0.9724119596351262,0.996938866618288,2.678447050343251,7.394e-09,294558.72595206066
CIFAR10,vit-b-32,128,0.03,0.9709518518518517,0.9709828463419895,0.97094630488338,0.9967724035618788,2.6211720164664807,1.433e-08,288259.97869646695
CIFAR10,vit-b-32,192,0.03,0.9711545454545455,0.971225326303809,0.9711260499306423,0.9967949243430607,2.6556492526780113,7.246e-09,292051.5678456776
CIFAR10,vit-b-32,256,0.03,0.9712818181818182,0.9713151897896503,0.9712699686256507,0.9968090656732759,2.6329302769978002,7.228e-09,289553.0780844403
CIFAR10,vit-s-16,128,0.03,0.9840666666666666,0.9841333718556152,0.9841939970234824,0.9982296114313179,2.4167087097830318,6.281e-08,268760.4051341702
CIFAR100,vit-b-32,128,0.03,0.8588666666666667,0.857963006360226,0.8581259702426709,0.9985744095622153,2.627529097868148,7.107e-08,288959.0904441525
CIFAR100,vit-s-16,128,0.03,0.9033333333333333,0.9031559841101187,0.9028153890441827,0.9990235681949762,2.403852726814834,6.193e-08,267330.7006865701
dogs,vit-b-16,64,0.03,0.879008746355685,0.8812762076022466,0.8783489057043025,0.9989832639462093,0.7189151751082692,3.081e-09,753795.7048825453
dogs,vit-b-16,128,0.03,0.8810738581146744,0.8828728094295528,0.8807275066217626,0.9990006178826583,0.7195256054564908,3.122e-09,754435.752263031
dogs,vit-b-32,64,0.03,0.8128036929057337,0.8153118920961311,0.8097761098611862,0.9984269174168023,1.4843746585282358,9.206e-09,396603.9111323798
dogs,vit-b-32,128,0.01,0.7752915451895044,0.7752003331088377,0.7720478023806574,0.9981116882982393,1.4307175687195266,1.005e-08,382267.49575648305
dogs,vit-b-32,128,0.03,0.8172173631357306,0.8185774847558065,0.8134884860430801,0.9984640073678209,1.334105399063115,8.426e-09,356454.0906780718
dogs,vit-b-32,128,0.03,0.7863375163730089,0.7871283760221816,0.7830712790238121,0.9982045118318637,1.4096192299915153,9.763e-09,376630.31810066017
dogs,vit-b-32,128,0.04,0.8142209264658243,0.8150286949848763,0.8105842113603842,0.9984388271653574,1.325370816894109,8.347e-09,354120.3338799264
dogs,vit-b-32,192,0.03,0.7776747062461348,0.7773034995957818,0.7744949598994206,0.9981317148750981,1.4355255938406455,1.011e-08,383552.132055616
dogs,vit-b-32,256,0.03,0.7837332735291919,0.7837910007698515,0.7809419009549287,0.9981826273660938,1.4014127054485783,9.736e-09,374437.65083041746
dogs,vit-s-16,128,0.03,0.8164075153871072,0.8161243787044952,0.8133118793073598,0.9984572018981871,1.269043834417758,7.861e-09,342880.0658991393
dogs,vit-s-16,256,0.03,0.8143019112406868,0.8142904833131128,0.81115272863308,0.9984395076849717,1.2603813370390657,7.822e-09,340539.56544399174
dogs,vit-s-32,128,0.03,0.7246517654680921,0.7242562550709829,0.7218843669758906,0.9976861431297874,1.878562604226918,1.353e-08,129823.32107279055
dogs,vit-s-32,256,0.03,0.7195497246517655,0.7210428444975897,0.7169499937319208,0.9976432687130136,1.7203691065743412,1.239e-08,118890.91712140356
dogs,vit-ti-16,128,0.03,0.746031746031746,0.7454418206630882,0.7408760624505453,0.9978658073121357,1.767434975943565,1.228e-08,126505.94000853365
dogs,vit-ti-16,256,0.03,0.7403628117913832,0.7412087404931239,0.7362884238364419,0.9978181690777701,1.5813594979359646,1.099e-08,113187.40010280284
fashion,vit-b-16,64,0.03,0.9463333333333334,0.9467293053199138,0.9467465969355647,0.9940369725613651,0.907629447591726,6.888e-10,326421.4619436401
fashion,vit-b-16,128,0.03,0.9455,0.9458042508649496,0.9459038977484052,0.9939443789746037,0.9274047427564674,7.173e-10,333533.4841187354
fashion,vit-b-32,64,0.03,0.9390000000000001,0.9392071617401411,0.9394124453827333,0.9932221491734258,2.1998684851097643,3.203e-09,201606.3929510261
fashion,vit-b-32,128,0.01,0.9446666666666668,0.944380312191744,0.944358855821849,0.9938518264436764,2.495923115555124,4.440e-09,228738.24495242423
fashion,vit-b-32,128,0.03,0.9375833333333334,0.9377341416368182,0.9380089118391614,0.9930647399719055,2.2578202749183127,3.323e-09,206917.37012417952
fashion,vit-b-32,128,0.03,0.9348256874178243,0.9350736466741646,0.9347453395178333,0.9938944691478339,2.6226715974925496,1.229e-08,240354.07763896216
fashion,vit-b-32,128,0.04,0.9385833333333333,0.9388073591198814,0.9390120522902881,0.9931758520953412,2.2646612687776906,3.351e-09,207544.31128249175
fashion,vit-b-32,256,0.03,0.942875,0.9427025466311078,0.9428899480307743,0.9936527258824662,2.5086331773375625,4.475e-09,229903.05536154026
fashion,vit-s-16,128,0.03,0.9529166666666665,0.9531543830872874,0.9531445338989859,0.9947684778795932,2.368173697745625,4.111e-08,219469.05166853336
