model,batch-size,lr,dropout,accuracy,precision,recall,specificity,SPJ,EDPinv,FPJ
vit-b-16,64,0.03,0.0,0.8766499999999999,0.8772277105418533,0.8770477907279857,0.9987540394503694,1.1556900710510072,1.184e-09,415634.4238799001
vit-b-16,72,0.03,0.0,0.8754,0.8753719439365057,0.874988365484282,0.9987414131143266,1.1496493914006718,1.175e-09,413461.94315240986
vit-b-16,96,0.03,0.0,0.8774,0.8774846962686937,0.8769384692980128,0.9987616151502658,1.1597920071026515,1.197e-09,417109.6514260422
vit-b-16,128,0.01,0.0,0.8646,0.8643780301327173,0.863532029726553,0.9986323221887464,1.1758211997566483,1.229e-09,422874.4186598258
vit-b-16,128,0.02,0.0,0.8702000000000001,0.8701673918854301,0.8696819998994334,0.9986888878173161,1.1773656539112296,1.231e-09,423429.8688872077
vit-b-16,128,0.03,0.0,0.8718294117647059,0.8720347665308145,0.8717844172510776,0.9987053465884065,1.1830177572912675,1.240e-09,425462.6013566796
vit-b-16,128,0.03,0.05,0.8790333333333334,0.8787409090882426,0.8784526902412532,0.9987781134397,1.116474392491815,1.113e-09,401530.82779190544
vit-b-16,128,0.03,0.1,0.8756666666666666,0.875643425874876,0.8749215922086657,0.9987441066763948,1.1168590486075727,1.115e-09,401669.16619860247
vit-b-16,128,0.04,0.0,0.8768,0.8766329298730202,0.8763133766162159,0.9987555545414618,1.1721705686767538,1.220e-09,421561.49923298485
vit-b-32,64,0.01,0.0,0.8528222222222221,0.8528308621090167,0.8525594706901085,0.998513354599775,3.1225819723602366,7.000e-09,286168.2379662969
vit-b-32,64,0.03,0.0,0.8583052631578948,0.8583339524785526,0.8584227462090024,0.9985687389173528,3.1221687479183005,6.996e-09,286130.36811644817
vit-b-32,96,0.03,0.0,0.8579133333333334,0.8577420532932029,0.8577659469145454,0.9985647799900899,3.1659042121236087,7.218e-09,290138.49371220666
vit-b-32,128,0.01,0.0,0.8504999999999999,0.8507277180454051,0.8502775135350651,0.9984898977898917,3.2278724830771797,7.377e-09,295817.5602877424
vit-b-32,128,0.02,0.0,0.8563818181818181,0.8564551483266094,0.8565043515226698,0.9985493101338379,3.2099207667263543,7.291e-09,294172.3797666035
vit-b-32,128,0.03,0.0,0.8570454545454546,0.8570211534214301,0.8571348939460662,0.9985560135374787,3.2240442745182913,7.352e-09,295466.7250790716
vit-b-32,128,0.03,0.0,0.858201282051282,0.8581869293522156,0.8582449828108948,0.9985676883326966,3.176374547646287,7.280e-09,292324.90513419424
vit-b-32,128,0.03,0.01,0.8622285714285713,0.8620002796132137,0.8621357691791608,0.9986083683216955,3.0800806987119675,6.856e-09,282273.2194531222
vit-b-32,128,0.03,0.025,0.864388888888889,0.8644215292848975,0.8644769265316341,0.998630189747652,3.0703364930197137,6.799e-09,281380.2141779954
vit-b-32,128,0.03,0.05,0.8648166666666667,0.8648072233444938,0.8647251103471173,0.9986345107026545,3.0763523325419317,6.817e-09,281931.5342750175
vit-b-32,128,0.03,0.075,0.8622875,0.8623830481514956,0.8619181040679297,0.9986089635295173,3.0701514650294888,6.796e-09,281363.2573344583
vit-b-32,128,0.03,0.1,0.8580818181818182,0.8586127055490015,0.858110838085782,0.998566481875124,3.079064480961605,6.853e-09,282180.08843347704
vit-b-32,128,0.04,0.0,0.8591454545454545,0.8590940989386986,0.8591889651852701,0.9985772256755858,3.2296725613093242,7.381e-09,295982.5280037075
vit-b-32,128,0.04,0.0,0.8577909090909092,0.8576667866901662,0.857921369375847,0.9985635433873327,3.2327800276134924,7.394e-09,296267.3109700715
vit-b-32,156,0.03,0.0,0.8582133333333334,0.8581118551704275,0.8580816531633346,0.9985678102968113,3.2013612368616546,7.312e-09,293387.9438091546
vit-b-32,256,0.01,0.0,0.8458777777777777,0.8459443957912334,0.8456364913758849,0.9984432086393862,3.2143948896875107,7.455e-09,294582.4096378997
